"district","name","address","twd97X","twd97Y","wgs84aX","wgs84aY"
"三重區","古拉爵 義式屋-家樂福重新店","新北市三重區重新路5段654號B1","297135.29","2770629.39","121.46712300","25.04306900"
"三峽區","茲啦啦小吃店","新北市三峽區中華路74-5號","287499.51","2757961.89","121.37128800","24.92897400"
"中和區","鹿兒島燒肉專賣店-中和中山店","新北市中和區中山路二段28號","300928.48","2766464.43","121.50455900","25.00534500"
"中和區","布拉德施維根廚房 Brother Su Vegan Kitchen","新北市中和區南華路29號","300774.84","2765430.83","121.50299900","24.99601900"
"永和區","阿妃餃子館","新北市永和區中正路470號","302235.88","2766235.92","121.51750300","25.00323700"
"永和區","猛港海鮮餐廳","新北市永和區永和路一段62號","301791.21","2766533.49","121.51310900","25.00593900"
"永和區","哩賀涼麵","新北市永和區秀朗路一段169號","302181.81","2766314.52","121.51697000","25.00394900"
"汐止區","涮乃葉-汐止遠雄店","新北市汐止區新台五路一段99號B1","315402.36","2772759.45","121.64824700","25.06161900"
"坪林區","田媽媽快樂農家米食餐飲坊","新北市坪林區北宜路八段141號","321375.66","2758725.15","121.70672400","24.93465200"
"板橋區","涮乃葉-板橋遠百中山店","新北市板橋區中山路1段152號10樓","296867.01","2767088.86","121.46434400","25.01111300"
"板橋區","鍋賣局(板橋新板店)","新北市板橋區中山路一段130號","296779.41","2767050.16","121.46347400","25.01076700"
"板橋區","神灯咖啡","新北市板橋區中山路一段160-1號1樓","297093.76","2767212.28","121.46659400","25.01222100"
"板橋區","彭園婚宴會館(新板店)","新北市板橋區中山路一段161號","296995.84","2767196.47","121.46562400","25.01208100"
"板橋區","鹿兒島燒肉專賣店-板橋新板店","新北市板橋區中山路一段164-1號","297102.75","2767216.12","121.46668400","25.01225500"
"板橋區","燒肉眾精緻炭火燒肉(二代目)-板橋文化店","新北市板橋區文化路一段325號","297057.42","2768140.25","121.46626600","25.02060000"
"板橋區","粩泰泰泰式料理","新北市板橋區四川路2段47巷4弄6號","295824.15","2765262.19","121.45395100","24.99465400"
"板橋區","八方悅鍋物-板橋民族店","新北市板橋區民族路73號","296983.58","2766826.92","121.46549000","25.00874500"
"板橋區","88thai 發發泰-泰式飯行家","新北市板橋區莒光路45號1樓","297501.59","2768568.57","121.47068200","25.02445300"
"板橋區","古拉爵 義式屋-板橋愛買店","新北市板橋區貴興路101號3樓","296049.65","2766150.6","121.45621400","25.00266800"
"板橋區","藍屋-板橋大遠百新站店","新北市板橋區新站路28號9樓","297096.5","2767373.42","121.46662700","25.01367500"
"板橋區","古拉爵 義式屋-板橋大遠百新站店","新北市板橋區新站路28號9樓","297096.5","2767373.42","121.46662700","25.01367500"
"板橋區","板橋凱撒大飯店(大廳酒吧)","新北市板橋區縣民大道二段8號","296694.57","2767148.96","121.46263700","25.01166100"
"板橋區","板橋凱撒大飯店(卡拉拉餐廳)","新北市板橋區縣民大道二段8號","296694.57","2767148.96","121.46263700","25.01166100"
"板橋區","板橋凱撒大飯店(朋派自助餐)","新北市板橋區縣民大道二段8號","296694.57","2767148.96","121.46263700","25.01166100"
"板橋區","板橋凱撒大飯店(家宴中餐廳)","新北市板橋區縣民大道二段8號","296694.57","2767148.96","121.46263700","25.01166100"
"板橋區","燒肉哦爺-日韓燒肉吃到飽(板橋府中店)","新北市板橋區館前東路48號2.3樓","296507.83","2766652.98","121.46077000","25.00718900"
"林口區","古拉爵 義式屋-林口三井店","新北市林口區文化三路1段356號2樓","286675.42","2773717.7","121.36354700","25.07124100"
"林口區","心伝的家","新北市林口區文化三路一段394巷6號1樓","286927.3","2773898.49","121.36604800","25.07286700"
"金山區","田中芳園養生食坊","新北市金山區清水路53號","313389.02","2791915.32","121.62917900","25.23463800"
"烏來區","雲仙大飯店","新北市烏來區烏來里瀑布路1-1號","305600.75","2749470.46","121.550166","24.851759"
"淡水區","將捷金鬱金香酒店","新北市淡水區中正路一段2-1號","293286.85","2785463.68","121.42945200","25.17710800"
"新店區","古拉爵 義式屋-新店家樂福店","新北市新店區中興路3段1號7樓","305148.3","2763216.76","121.54623500","24.97587700"
"新店區","SKYLARK加州風洋食館-新店家樂福店","新北市新店區中興路3段1號7樓","305148.3","2763216.76","121.54623500","24.97587700"
"新店區","原粹蔬食作","新北市新店區北新路三段206巷1弄7號一樓","304669.89","2764179.64","121.54153500","24.98458800"
"新莊區","鹿兒島燒肉專賣店-新莊中華店","新北市新莊區中華路二段65號1樓","295700.39","2771085.88","121.45291800","25.04723400"
"瑞芳區","雲山水小築民宿","新北市瑞芳區金瓜石石山里山尖路72-1號","336208.05","2778702.35","121.854824","25.114225"
"雙溪區","雙溪平林休閒農場","新北市雙溪區平林里外平林35號","336128.44","2770177.54","121.85350100","25.03727300"
"蘆洲區","魚缸珈琲館","新北市蘆洲區三民路78號","297927.25","2775179.63","121.47512900","25.08412400"
"鶯歌區","蕃薯藤有限公司鶯歌分公司","新北市鶯歌區尖山路5號","285546.99","2760356.71","121.35201700","24.95064200"
"鶯歌區","台灣緹娜餐飲有限公司鶯歌分公司","新北市鶯歌區尖山路5號","285546.99","2760356.71","121.35201700","24.95064200"
